,person,sequence_id,group,sequence,reported_sequence,corrected_sequence,cleaned_sequence,cleaned_reported_sequence,correct,sequence_errors,errors,marked
28,henrikG,32,marathon,thtthhhhhhhtthtttthtttththhhhhttththtthhthththththhhthhttttthtttxhhthttththtthhhtthtttthhttuhtthhththtthh,thtthhhhhhhtthtttthtttththhhhhttththtthhthththxhthhhthhtxxtthtttxhhthttththtthhhtthtttthhtthhtthhththtxhh,thtthhhhhhhtthtttthtttththhhhhttththtthhthththththhhthhttttthtttxhhthttththtthhhtthtttthhttuhtthhththtthh,thtthhhhhhhtthtttthtttththhhhhttththtthhthththththhhthhttttthttthhthttththtthhhtthtttthhtthtthhththtthh,thtthhhhhhhtthtttthtttththhhhhttththtthhthththhthhhthhttthttthhthttththtthhhtthtttthhtthhtthhthththh,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
29,jillR,7,marathon,hhttttthhthtxththhhxhthtththttttxxtthtttttxttthhhttthhtthhhhhthhhhththtthttthhthhthtthhhhhhtxxthhttttxh,tthhhhhtththxhthtttxththhththhhhhhhhthhhhhthhhttthhhtthhttttthtttthththhthhhtthtththhtttttthxxhtthhhhxt,tthhhhhtththxhthtttxththhththhhhxxhhthhhhhxhhhttthhhtthhttttthtttthththhthhhtthtththhtttttthxxhtthhhhxt,tthhhhhtththhthtttththhththhhhhhthhhhhhhhttthhhtthhttttthtttthththhthhhtthtththhtttttthhtthhhht,tthhhhhtththhthtttththhththhhhhhhhthhhhhthhhttthhhtthhttttthtttthththhthhhtthtththhtttttthhtthhhht,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
30,pierreG,146,bachelor,hhthhttthhththhuthtthththhhththhthuttthhtttththhttthtthhhtthttthuttthhuhhthtthhhhhhhhttthtttththhththhtt ,tthtthhhtththttxhthhththttththtthtxhhhtthhhhtththhhthhttthhthhhtxhhhttxtththhtttttttthhhthhhhthtththtthh,tthtthhhtththttuhthhththttththtthtuhhhtthhhhthtthhhthhttthhthhhtuhhhttutththhtttttttthhhthhhhthtththtthh ,tthtthhhtththtththhththttththtththhhtthhhhthtthhhthhttthhthhhthhhtttththhtttttttthhhthhhhthtththtthh ,tthtthhhtththtththhththttththtththhhtthhhhtththhhthhttthhthhhthhhtttththhtttttttthhhthhhhthtththtthh,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
31,amirS,8,bachelor,uhuttuthhxhttthhthhthhtuututthttuhhtttuuutththhuttttuuthhhtttthtuhutttthuuthtthuhhhhuthuhhtttthhttthtutuhttuhutuhhttthttthtthhhuht,xtxxhxhtttthhhtthtthtthxxhhhhthhxtthhhxxxhxthttxhhhhxxhttthhhxthxtxhhhhtxxhthhtxtxtttxhtxtthhhhtxhxhthxhxthhxtxhxtthhhthhhthhtttxth,utuhhuhttxthhhtthtthtthuuhuhhthhutthhhuuuhhthttuhhhhuuhttthhhhthutuhhhhtuuhthhtuttttuhtutthhhhtthhhthuhuthhutuhutthhhthhhthhtttuth,thhhttthhhtthtthtthhhhthhtthhhhhthtthhhhhttthhhhththhhhththhttttthttthhhhtthhhthhthhthtthhhthhhthhtttth,thhtttthhhtthtthtthhhhhthhtthhhhthtthhhhhttthhhththhhhththhttttthttthhhhthhthhthhthtthhhthhhthhtttth,0,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
32,davidV,83,bachelor,ttttttthtthhthhthhhhhththhtttthhtttttttthhththhthtthhhhhttttthhtthttthtttttththtttththttththhttttth,ttttttthtthhthhthhhhhththhhtttthhtttttttthhththhthtthhhhhttttthhtthttthtttttththtttththttththhttttth,ttttttthtthhthhthhhhhththhtttthhtttttttthhththhthtthhhhhttttthhtthttthtttttththtttththttththhttttth,ttttttthtthhthhthhhhhththhtttthhtttttttthhththhthtthhhhhttttthhtthttthtttttththtttththttththhttttth,ttttttthtthhthhthhhhhththhhtttthhtttttttthhththhthtthhhhhttttthhtthttthtttttththtttththttththhttttth,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
33,kaleemU,81,bachelor,uhhhhhhtthtthuhhhtttthhhthhthhhhhhththhtuttththhhhhthtthhttttutuhtthhtthttththhththhthttththtttthhhthhttttttt,xhhhhhhtthtthxhhhtttthhhthhthhhhhhththhtxttththhhthtthhttttxtxhtthhtthttththhthhhthttththtttthhhthhttttttt,uhhhhhhtthtthuhhhtttthhhthhthhhhhhththhtuttththhhhhthtthhttttutuhtthhtthttththhththhthttththtttthhhthhttttttt,hhhhhhtthtthhhhtttthhhthhthhhhhhththhtttththhhhhthtthhttttthtthhtthttththhththhthttththtttthhhthhttttttt,hhhhhhtthtthhhhtttthhhthhthhhhhhththhtttththhhthtthhttttthtthhtthttththhthhhthttththtttthhhthhttttttt,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
34,davidKL,46,bachelor,htthttthhhhhhhhhtttthttttttttttttththhhhtthtthttthhhtthhhhtttththhttthtthtttttttthtthhttttthtthttt,thhthhhttttttttthhhhthhhhhhhhhhhhhthtttthhthhthhhttthhtttthhhhhthtthhhthhthhhhhhhhthhtthhhhhthhthhh,thhthhhttttttttthhhhthhhhhhhhhhhhhthtttthhthhthhhttthhtttthhhhthtthhhthhthhhhhhhhthhtthhhhhthhthhh,thhthhhttttttttthhhhthhhhhhhhhhhhhthtttthhthhthhhttthhtttthhhhthtthhhthhthhhhhhhhthhtthhhhhthhthhh,thhthhhttttttttthhhhthhhhhhhhhhhhhthtttthhthhthhhttthhtttthhhhhthtthhhthhthhhhhhhhthhtthhhhhthhthhh,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
35,frantisekB,18,marathon,tththttttthhttttththhththutthhtthtthttttuuuutththtthtthhttuhthhtuuuththtttthhtttththtththtthhththtt,thththhhhhtthhhhhthtththtthhtthhthhthhhhtthhhhthttxhthhhttthhxthtthhhhhththhhhtthhhhththhththhtthththt,tththttttthhttttththhththutthhtthtthttttuuuutththtthtthhttuhthhtuuuththtttthhtttththtththtthhththtt,tththttttthhttttththhththtthhtthtthtttttththtthtthhtththhtththtttthhtttththtththtthhththtt,thththhhhhtthhhhhthtththtthhtthhthhthhhhtthhhhthtththhhttthhthtthhhhhththhhhtthhhhththhththhtthththt,0,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",x
36,ingeborgR,12,marathon,tttthhhththttthhthttthhhhhhhhththhhhhhtththhtttttthhhhhttuttttthtttthttttttthtthtthtthtthhhhtthtthh,ttthhhhhthtthttthhthttthhxhhhhhhththhhhhhtththhtttttthhhhhttxttttthtttthttttttthttttthtthtthhhhtthtthh,tttthhhththttthhthttthhhhhhhhththhhhhhtththhtttttthhhhhttuttttthtttthttttttthtthtthtthtthhhhtthtthh,tttthhhththttthhthttthhhhhhhhththhhhhhtththhtttttthhhhhttttttthtttthttttttthtthtthtthtthhhhtthtthh,ttthhhhhthtthttthhthttthhhhhhhhththhhhhhtththhtttttthhhhhttttttthtttthttttttthttttthtthtthhhhtthtthh,0,"[0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
37,madlenH,50,marathon,thhttttuhhtuhhthththhthhtthhhtthtuhthhthuthuhhtttututtthhttuththtthhtttthuuththhhtthhhhthtththhthuhhhhhhhhthtt,thhttttxhhtxhhthththhthhtthhhtthtxhthhthxthxhhtttxtxttthhttxththtthhtttthxxththhhtthhhhthtththhthxhhhhhhhhhthtt,thhttttuhhtuhhthththhthhtthhhtthtuhthhthuthuhhtttututtthhttuththtthhtttthuuththhhtthhhhthtththhthuhhhhhhhhthtt,thhtttthhthhthththhthhtthhhtthththhththhhttttttthhttththtthhtttthththhhtthhhhthtththhthhhhhhhhhthtt,thhtttthhthhthththhthhtthhhtthththhththhhttttttthhttththtthhtttthththhhtthhhhthtththhthhhhhhhhhhthtt,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
38,henrikG,6,marathon,tththtthtthhtthhthhhhhtthhhttthhttthhhhhhhhhtthhhtthhtthttthhhhthhhhhhththhhhthhtthththhtthhhhhhtthhtht,hhththhthhtthhtthttttthhttthhhtthhhttttttttthhttthhtthhthhhtttthttttxththttttxthhththtthhtttttthhtthth,hhththhthhtthhtthttttthhttthhhtthhhttttttttthhttthhtthhthhhtttthtttttththtttthtthhththtthhtttttthhtthth,hhththhthhtthhtthttttthhttthhhtthhhttttttttthhttthhtthhthhhtttthtttttththtttthtthhththtthhtttttthhtthth,hhththhthhtthhtthttttthhttthhhtthhhttttttttthhttthhtthhthhhtttthttttththttttthhththtthhtttttthhtthth,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
39,jillR,61,marathon,hthhhttthhhthhthththtthtthhhhththththhhhthhthtththhthhtththuthhhhhththhthhtttthhhthhhtththhththtt,thhhttthhhthhthththtthtthhhhththththhhhthhthtththhthhtthhtththxthhhhhttthhthhttttthhhthhhtththhththtt,thttthhhttthtththththhthhtttththththtttthtththhthtthtthhthtuhttttththtthtthhhhttthttthhthtthththh,thttthhhttthtththththhthhtttththththtttthtththhthtthtthhththttttththtthtthhhhttthttthhthtthththh,thhhttthhhthhthththtthtthhhhththththhhhthhthtththhthhtthhtthththhhhhttthhthhttttthhhthhhtththhththtt,0,"[0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0]","[0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",x
40,pierreG,48,bachelor,ttttxthhthhthhxhhhtxththttthxthhhhhtthhhtxhxhhthhhhhtttthhhhhhtthtthhhththhththtxttthththtththhhhhxttthttxhhh,ttttxthhthhthhxhhhtxththttthxthhhhhtthhhtxhxhhthhhhhtttthhhhhhtthtthhhththhththtxttthththtththhhhhxttthttxhhh,ttttxthhthhthhxhhhtxththttthxthhhhhtthhhtxhxhhthhhhhtttthhhhhhtthtthhhththhththtxttthththtththhhhhxttthttxhhh,ttttthhthhthhhhhtththttththhhhhtthhhthhhthhhhhtttthhhhhhtthtthhhththhththtttthththtththhhhhttthtthhh,ttttthhthhthhhhhtththttththhhhhtthhhthhhthhhhhtttthhhhhhtthtthhhththhththtttthththtththhhhhttthtthhh,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
